from,to,role,width
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://rgzm.de/samian/isConnectedWith,1
